,Title,Author,Price,Image,Link
27,FSA Raving Fans: Pendekatan Revolusioner Untuk Dicintai Pelangga, KEN BLANCHARD & SHELDON BOWLES ,Rp 80.000,https://cdn.gramedia.com/uploads/items/9786230015762_CoverDepan_Raving_Fans_Kuping__cDDdqAc__w149_hauto.jpg,https://www.gramedia.com/products/fsa-raving-fans-pendekatan-revolusioner-untuk-dicintai-pelangga
28,FSA Parker Pyne Menyelidiki (Parker Pyne Investigates),,Rp 50.000,https://cdn.gramedia.com/uploads/items/9789792267051_Parker-Pyne-M_un3wKev__w149_hauto.jpg,https://www.gramedia.com/products/fsa-parker-pyne-menyelidiki-parker-pyne-investigates
29,Smk/Mak Kl.X Pendidikan Agama Islam&Budi Pekerti-A K/Merdeka, Suwadi None ,Rp 77.000,/assets/default-images/product.png,https://www.gramedia.com/products/smkmak-klx-pendidikan-agama-islambudi-pekerti-a-kmerdeka
30,Smk/Mak Kl.X Informatika-A K/Merdeka, Adi Nova T. ,Rp 80.000,https://cdn.gramedia.com/uploads/items/Informatika__w149_hauto.jpg,https://www.gramedia.com/products/smkmak-klx-informatika-a-kmerdeka
31,Smk/Mak Kl.X Pjok-A K/Merdeka, Sugito Adi W. ,Rp 77.000,https://cdn.gramedia.com/uploads/items/PJOK__w149_hauto.jpg,https://www.gramedia.com/products/smkmak-klx-pjok-a-kmerdeka
32,Smk/Mak Kl.X Bahasa Indonesia-A K/Merdeka, Endah Tri Priyatni ,Rp 73.000,https://cdn.gramedia.com/uploads/items/bahasa_indonesia_RuxzrBD__w149_hauto.jpg,https://www.gramedia.com/products/smkmak-klx-bahasa-indonesia-a-kmerdeka
33,Top Rank Sbmptn & Um Mandiri Saintek 2023, Tim Edukasi Indonesia ,Rp 219.000,https://cdn.gramedia.com/uploads/items/Top_Rank_Sbmptn__Um_Mandiri_Saintek_2023__w149_hauto.jpg,https://www.gramedia.com/products/top-rank-sbmptn-um-mandiri-saintek-2023
34,Penelitian Eksperimen Dalam Psikologi, Ahmad Saifuddin ,Rp 113.000,https://cdn.gramedia.com/uploads/items/Penelitian-Eksperimen-dalam-psikologi__w149_hauto.jpg,https://www.gramedia.com/products/penelitian-eksperimen-dalam-psikologi
35,Analisis Kebijakan Pendidikan: Pendidikan Di Era Revolusi," Dr. Jejen Musfah, M.A. ",Rp 110.000,https://cdn.gramedia.com/uploads/items/ANALISIS-KEBIJAKAN-PENDIDIKAN__w149_hauto.jpg,https://www.gramedia.com/products/analisis-kebijakan-pendidikan-pendidikan-di-era-revolusi
36,Desentralisasi Otonom&Pemekaran Daerah Di Indonesia," Dr. Tb. H. Ace Hasan Syadzily, M.Si. ",Rp 86.000,https://cdn.gramedia.com/uploads/items/Desentralisasi-Otonomi-dan-pemekaran-wilayah__w149_hauto.jpg,https://www.gramedia.com/products/desentralisasi-otonompemekaran-daerah-di-indonesia
37,Riset Kualitatif, Morissan  ,Rp 85.000,https://cdn.gramedia.com/uploads/items/Riset-Kualitatif-morisan__w149_hauto.jpg,https://www.gramedia.com/products/riset-kualitatif
38,Burung Merak, Adriani Sukmoro ,Rp 69.000,https://cdn.gramedia.com/uploads/items/img20220628_17214876__w149_hauto.jpg,https://www.gramedia.com/products/burung-merak-1
39,Radin Inten Ii Pemimpin Gerilya Dan Siasat Dari Lampung, M. Frikasari ,Rp 39.000,https://cdn.gramedia.com/uploads/items/img20220628_17334404__w149_hauto.jpg,https://www.gramedia.com/products/radin-inten-ii-pemimpin-gerilya-dan-siasat-dari-lampung
40,KOMPETEN KSN MATEMATIKA SD/MI, TIM PEMBINA PRESTASI ,Rp 70.000,/assets/default-images/product.png,https://www.gramedia.com/products/kompeten-ksn-matematika-sdmi
41,Bahas Tuntas Ujian Sekolah Sd/Mi 2023," IVANKA JHARNA, S.PD. DAN TIM ",Rp 130.000,/assets/default-images/product.png,https://www.gramedia.com/products/bahas-tuntas-ujian-sekolah-sdmi-2023
42,Perkuat Jantung Tulang & Ginjal Sehat Bersama Makanan Berkhasiat, Made Astawan ,Rp 98.000,https://cdn.gramedia.com/uploads/items/Capture5__w149_hauto.JPG,https://www.gramedia.com/products/perkuat-jantung-tulang-ginjal-sehat-bersama-makanan-berkhasiat
43,"Patah, Tumbuh, Sembuh", Reza Mustopa ,Rp 79.000,https://cdn.gramedia.com/uploads/items/Patahtumbuh__w149_hauto.jpg,https://www.gramedia.com/products/patah-tumbuh-sembuh
44,"Transportasi, Konektifitas dan Ketahanan Nasional", Budi Karya Sumadi ,Rp 225.000,https://cdn.gramedia.com/uploads/items/Capture4__w149_hauto.JPG,https://www.gramedia.com/products/transportasi-konektifitas-dan-ketahanan-nasional
45,Komik Next G: Gara-Gara Mager," Nayaka Syahmi Ghaisani S., dkk. ",Rp 39.000,https://cdn.gramedia.com/uploads/items/Komik_Next_G_Gara-Gara_Mager__w149_hauto.jpg,https://www.gramedia.com/products/komik-next-g-gara-gara-mager
46,Komik Next G: Ibuku Periku," Nadia Rachma Alfatih, dkk. ",Rp 39.000,https://cdn.gramedia.com/uploads/items/Ibuku_Periku__w149_hauto.jpg,https://www.gramedia.com/products/komik-next-g-ibuku-periku
47,Ekonomi Sirkuler- Solusi Krisis Bumi, Sonny Keraf ,Rp 109.000,https://cdn.gramedia.com/uploads/items/Capture2__w149_hauto.JPG,https://www.gramedia.com/products/ekonomi-sirkuler-solusi-krisis-bumi
48,A Letter To A Stranger, Rakasya None ,Rp 65.000,/assets/default-images/product.png,https://www.gramedia.com/products/a-letter-to-a-stranger
49,Giant Coloring Sheet : Luar Angkasa, HANIFA JESLYN ,Rp 35.000,/assets/default-images/product.png,https://www.gramedia.com/products/giant-coloring-sheet-luar-angkasa
50,Untung Gundul – dan 99 Kolom Bahasa Kompas Lainya, Andre Moller ,Rp 98.000,https://cdn.gramedia.com/uploads/items/Capture1_RMUKpfi__w149_hauto.JPG,https://www.gramedia.com/products/untung-gundul-dan-99-kolom-bahasa-kompas-lainya
51,Privat Alfaiz Sukses Skd Cpns 2023, Al-Faiz None ,Rp 145.000,/assets/default-images/product.png,https://www.gramedia.com/products/privat-alfaiz-sukses-skd-cpns-2023
52,8 Intisari Kecerdasan Finansial ( Ed. National Best Seller ), Indra Ismawan ,Rp 68.000,/assets/default-images/product.png,https://www.gramedia.com/products/8-intisari-kecerdasan-finansial-ed-national-best-seller-2
53,"Menangkal Hipertensi, Diabetes & Kanker Sehat Bersama makanan berkhasiat", Made Astawan ,Rp 98.000,https://cdn.gramedia.com/uploads/items/Capture_R4ngGlX__w149_hauto.JPG,https://www.gramedia.com/products/menangkal-hipertensi-diabetes-kanker-sehat-bersama-makanan-berkhasiat
54,Best Part, DWI None ,Rp 124.000,/assets/default-images/product.png,https://www.gramedia.com/products/best-part
55,"Kewirausahaan Pola Pikir, Pengetahuan, Dan Keterampilan (Edi"," Dr. Sarfilianty Anggiani, M.M., Mba. ",Rp 82.000,/assets/default-images/product.png,https://www.gramedia.com/products/kewirausahaan-pola-pikir-pengetahuan-dan-keterampilan-edi
56,The Almanack Of Naval Ravikant, ERIC JORGENSON ,Rp 88.000,/assets/default-images/product.png,https://www.gramedia.com/products/the-almanack-of-naval-ravikant
57,Bridgertons Book #2: Viscount Who Loved Me (Tv Tie In), Julia Quinn ,Rp 152.000,/assets/default-images/product.png,https://www.gramedia.com/products/bridgertons-book-2-viscount-who-loved-me-tv-tie-in
58,Bendy And The Ink Machine #1: Dreams Come To Life, Adrienne Kress ,Rp 160.000,/assets/default-images/product.png,https://www.gramedia.com/products/bendy-and-the-ink-machine-1-dreams-come-to-life
59,Punching the Air, Ibi Zoboi and Yusef Salaam ,Rp 198.000,/assets/default-images/product.png,https://www.gramedia.com/products/punching-the-air-1
60,Doa Anak Muslim, Rahmani Azka ,Rp 45.000,https://cdn.gramedia.com/uploads/items/Doa_Anak_Muslim__w149_hauto.jpg,https://www.gramedia.com/products/doa-anak-muslim
61,Jagat Lingga Erlangga, RESTU FITRIA ,Rp 95.000,/assets/default-images/product.png,https://www.gramedia.com/products/jagat-lingga-erlangga
62,Gak Capek Dituntut Mulu ?, Stefani Bella ,Rp 85.000,https://cdn.gramedia.com/uploads/items/GAK_CAPEK_DITUNTUT_MULU__w149_hauto.jpg,https://www.gramedia.com/products/gak-capek-dituntut-mulu
63,Aku Anak Hebat: Pentingnya Air Bersih, Tjitji Wartisah  Nia Kurnia Agustina ,Rp 32.000,https://cdn.gramedia.com/uploads/items/img20220623_13534004__w149_hauto.jpg,https://www.gramedia.com/products/aku-anak-hebat-pentingnya-air-bersih
64,Aku Anak Hebat: Pentingnya Vaksinasi, Tjitji Wartisah  Nia Kurnia Agustina ,Rp 32.000,https://cdn.gramedia.com/uploads/items/img20220623_13551366__w149_hauto.jpg,https://www.gramedia.com/products/aku-anak-hebat-pentingnya-vaksinasi
65,Buku Pintar Dana Desa, DWI PAJAR R ,Rp 59.000,/assets/default-images/product.png,https://www.gramedia.com/products/buku-pintar-dana-desa
66,Aku Anak Hebat: Pentingnya Cuci Tangan, Tjitji Wartisah  Nia Kurnia Agustina ,Rp 32.000,https://cdn.gramedia.com/uploads/items/img20220623_14012311__w149_hauto.jpg,https://www.gramedia.com/products/aku-anak-hebat-pentingnya-cuci-tangan
67,Aku Bisa Berhitung 5-6Th, Hasri Handayani ,Rp 26.000,https://cdn.gramedia.com/uploads/items/img20220623_14215490__w149_hauto.jpg,https://www.gramedia.com/products/aku-bisa-berhitung-5-6th
68,Khalid Bin Walid: Menyelami Kisah Heroik Sang Pedang Allah, A.R. Shohibul Ulum ,Rp 89.500,https://cdn.gramedia.com/uploads/items/img20220623_14032829__w149_hauto.jpg,https://www.gramedia.com/products/khalid-bin-walid-menyelami-kisah-heroik-sang-pedang-allah
69,Aku Bisa Menulis 5-6Th, Hasri Handayani ,Rp 26.000,https://cdn.gramedia.com/uploads/items/img20220623_14223892__w149_hauto.jpg,https://www.gramedia.com/products/aku-bisa-menulis-5-6th
70,"Sabar, Syukur, Dan Ikhlas: Kunci Sukses Dan Bahagia Dunia Ak", Retno D.N. ,Rp 59.500,https://cdn.gramedia.com/uploads/items/sabar__w149_hauto.jpg,https://www.gramedia.com/products/sabar-syukur-dan-ikhlas-kunci-sukses-dan-bahagia-dunia-ak
71,Aku Bisa Membaca 5-6Th, Hasri Handayani ,Rp 26.000,https://cdn.gramedia.com/uploads/items/img20220623_14232837__w149_hauto.jpg,https://www.gramedia.com/products/aku-bisa-membaca-5-6th
