,Title,Author,Price,Image,Link
117,Spiritualitas Ibadah, Prof. Yunasril Ali ,Rp 180.000,/assets/default-images/product.png,https://www.gramedia.com/products/spiritualitas-ibadah
118,"Dynamic Hr, Model Msdm Untuk Bisnis Berkelanjutan"," Dr. Silverius Y. Soeharso, S.E., M.M., Psikolog  Drs. Muhammad Hatta, M.B.A. ",Rp 185.000,/assets/default-images/product.png,https://www.gramedia.com/products/dynamic-hr-model-msdm-untuk-bisnis-berkelanjutan
119,With You, Aloisiatherin None ,Rp 99.500,/assets/default-images/product.png,https://www.gramedia.com/products/with-you-3
120,Politik Hukum Pertanahan Indonesia, ,Rp 148.000,https://cdn.gramedia.com/uploads/items/Politik_Hukum_Pertanahan_Indonesia__w149_hauto.jpg,https://www.gramedia.com/products/politik-hukum-pertanahan-indonesia
121,Pendidikan Rusak-Rusakan, Ki Darmaningtyas ,Rp 150.000,https://cdn.gramedia.com/uploads/items/Pendidikan_Rusak-rusakan__w149_hauto.jpg,https://www.gramedia.com/products/pendidikan-rusak-rusakan
122,Buku Pintar Olahraga Sehat : Penyakit Bablas Dengan Olahraga, ,Rp 80.000,https://cdn.gramedia.com/uploads/items/Buku_Pintar_Olahraga_Sehat__w149_hauto.jpg,https://www.gramedia.com/products/buku-pintar-olahraga-sehat-penyakit-bablas-dengan-olahraga
123,Mendamaikan Hati, Ghalif Mahesa ,Rp 69.000,https://cdn.gramedia.com/uploads/items/Mendamaikan_Hati__w149_hauto.jpg,https://www.gramedia.com/products/mendamaikan-hati
124,Kepada Yang Patah, Ade Rima Miranti ,Rp 79.000,https://cdn.gramedia.com/uploads/items/Kepada_Yang_Patah__w149_hauto.jpg,https://www.gramedia.com/products/kepada-yang-patah
125,Kawasan Industri Halal: Upaya Menuju Indonesia Pusat Produsen Halal Dunia," Nidya Waras Sayekti, Ariesy Tri Mauleny, Lisnawati, Izzaty ",Rp 60.000,https://cdn.gramedia.com/uploads/items/KAWASAN_INDUSTRI_HALAL__w149_hauto.jpg,https://www.gramedia.com/products/kawasan-industri-halal-upaya-menuju-indonesia-pusat-produsen-halal-dunia
126,Buku Seri Kamus Bilingual PAUD: Pengetahuan Pertamaku, Larousse ,Rp 64.000,https://cdn.gramedia.com/uploads/items/img20220529_11481289__w149_hauto.jpg,https://www.gramedia.com/products/buku-seri-kamus-bilingual-paud-pengetahuan-pertamaku
127,Buku Seri Kamus Bilingual PAUD: Rumahku, Larousse ,Rp 64.000,https://cdn.gramedia.com/uploads/items/img20220529_11350237__w149_hauto.jpg,https://www.gramedia.com/products/buku-seri-kamus-bilingual-paud-rumahku
128,Marti & Sandra-Novela seno Gumira Ajidarma, Seno Gumira Ajidarma ,Rp 65.000,https://cdn.gramedia.com/uploads/items/img20220527_19034392__w149_hauto.jpg,https://www.gramedia.com/products/marti-sandra-novela-seno-gumira-ajidarma
129,Biografi Nyanyian Kehidupan Nafsiah Mboi, Agung Adiprasetyo & Maria Hartiningsih ,Rp 175.000,https://cdn.gramedia.com/uploads/items/img20220527_19143977__w149_hauto.jpg,https://www.gramedia.com/products/biografi-nyanyian-kehidupan-nafsiah-mboi
130,17 Agustus 1950 Negara Kesatuan Republik Indonesia Terbentuk, James Luhulima ,Rp 89.000,https://cdn.gramedia.com/uploads/items/img20220527_19002905__w149_hauto.jpg,https://www.gramedia.com/products/17-agustus-1950-negara-kesatuan-republik-indonesia-terbentuk
131,Atuy Galon Isi Ulang, CYN ILLUSTRATED  BY NUNU ,Rp 88.000,https://cdn.gramedia.com/uploads/items/Atuy_Galon_Isi_Ulang_syVWMvJ__w149_hauto.jpg,https://www.gramedia.com/products/atuy-galon-isi-ulang
132,Pada Setiap Diam, DINDI LEKSTAMI KIKI MULKI MUCHTAR ,Rp 72.000,https://cdn.gramedia.com/uploads/items/Pada_Setiap_Diam__w149_hauto.jpg,https://www.gramedia.com/products/pada-setiap-diam
133,"Hello, Cello.", NADIA RISTIVANI  NADIA RESTIVANI ,Rp 99.000,https://cdn.gramedia.com/uploads/items/Hello_Cello__w149_hauto.jpg,https://www.gramedia.com/products/hello-cello
134,Gagal Tumbuh Di Perasaanmu, RIZA ARDILA ,Rp 88.000,https://cdn.gramedia.com/uploads/items/Gagal_Tumbuh_Di_Perasaanmu__w149_hauto.jpg,https://www.gramedia.com/products/gagal-tumbuh-di-perasaanmu
135,Sd Kl 4 Pembelajaran Bahasa Mandarin Interaktif Abad 21, Yi Ying ,Rp 82.000,/assets/default-images/product.png,https://www.gramedia.com/products/sd-kl-4-pembelajaran-bahasa-mandarin-interaktif-abad-21
136,99 Kekuatan Berfikir Positif, Aning Naafiah ,Rp 50.000,/assets/default-images/product.png,https://www.gramedia.com/products/99-kekuatan-berfikir-positif
137,Bumi Dan Lukanya, ,Rp 89.500,/assets/default-images/product.png,https://www.gramedia.com/products/bumi-dan-lukanya
138,"Experiential Based Learning, Pembelajaran Berbasis Pengalama", Ismijarti Juni Susanti Prof. Richardus Eko Indrajit ,Rp 39.000,/assets/default-images/product.png,https://www.gramedia.com/products/experiential-based-learning-pembelajaran-berbasis-pengalama
139,Sd Kl 2 Pembelajaran Bahasa Mandarin Interaktif Abad 21, YI YING ,Rp 66.000,/assets/default-images/product.png,https://www.gramedia.com/products/sd-kl-2-pembelajaran-bahasa-mandarin-interaktif-abad-21
